,Draught Rate,ASHRAE Standard,ISO 7730 Standard,Date/Time
6491,37.0909436193506,X,X,3/14/2025 11:03
6492,39.34900832318375,X,X,3/14/2025 11:03
6500,30.449809532828134,X,X,3/14/2025 11:03
6501,30.707426029483305,X,X,3/14/2025 11:03
6502,25.15373160271451,X,Cat III,3/14/2025 11:03
6510,21.649733506903658,X,Cat III,3/14/2025 11:03
6513,27.929015229685778,X,Cat III,3/14/2025 11:03
6514,28.270796084957265,X,Cat III,3/14/2025 11:03
6515,24.659713009635954,X,Cat III,3/14/2025 11:03
6516,34.8725955321127,X,X,3/14/2025 11:03
6517,24.07669743485917,X,Cat III,3/14/2025 11:03
6519,25.971275771136295,X,Cat III,3/14/2025 11:03
6521,30.971357006254323,X,X,3/14/2025 11:03
6522,27.640610126515487,X,Cat III,3/14/2025 11:03
6523,36.88974400807913,X,X,3/14/2025 11:03
6536,25.802950393681783,X,Cat III,3/14/2025 11:03
6537,28.696110777372873,X,Cat III,3/14/2025 11:03
6538,33.77195635704839,X,X,3/14/2025 11:03
6539,22.97432420064944,X,Cat III,3/14/2025 11:03
6541,28.560154550303565,X,Cat III,3/14/2025 11:04
6542,28.744738891362253,X,Cat III,3/14/2025 11:04
6543,41.939805480889845,X,X,3/14/2025 11:04
6544,32.72159681672589,X,X,3/14/2025 11:04
6545,43.38562933552188,X,X,3/14/2025 11:04
6546,22.271258709541616,X,Cat III,3/14/2025 11:04
6547,20.97511586482177,X,Cat III,3/14/2025 11:04
6549,21.91506327345333,X,Cat III,3/14/2025 11:04
6556,23.617913462066376,X,Cat III,3/14/2025 11:04
6557,31.086545927057422,X,X,3/14/2025 11:04
6558,25.097392941440013,X,Cat III,3/14/2025 11:04
6559,22.257146200610467,X,Cat III,3/14/2025 11:04
6560,34.39371306699624,X,X,3/14/2025 11:04
6561,38.38985582471924,X,X,3/14/2025 11:04
6563,25.95218369573859,X,Cat III,3/14/2025 11:04
6564,33.419372666283074,X,X,3/14/2025 11:04
6565,38.206747348326374,X,X,3/14/2025 11:04
6566,30.686215471289977,X,X,3/14/2025 11:04
6567,39.64875114575128,X,X,3/14/2025 11:04
6568,44.38842655494047,X,X,3/14/2025 11:04
6569,32.33558649528926,X,X,3/14/2025 11:04
6570,25.202189755885733,X,Cat III,3/14/2025 11:04
6581,34.60464919601787,X,X,3/14/2025 11:04
6582,40.0980245243515,X,X,3/14/2025 11:04
6583,38.57487448779389,X,X,3/14/2025 11:04
